date,review,score
2021-09-10,고기 좋긴 해요 구워먹는 치즈가 비싸서 맘아플뿐 아 총각김치맛있어요,5
2021-08-25,"목살, 삼겹살 무조건 먹어야함. 된장찌개? 최고존맛 레시피 알고싶음 무저건 먹어야함. ㅎㅎ",5
2021-08-25,고기 정말 좋아하는데 다른 곳에비해 고기품질이 좋고 맛있더라고요 다음에 재방문 예정입니다 !!,5
2021-08-25,목살 너무 맛있어요 ㅠㅠ 자꾸 자꾸 생각나요 ,5
2021-08-25,근처에서 고깃집 찾다가 들렀는데 넘 맛있었어여ㅠㅠㅜ관자묵은지도 넘 맛있어서 자꾸 생각나여...굳굳,5
2021-08-24,리뷰 주작이라는게 뭔지 보여준 집,1
2021-07-26,,5
2021-07-13,가족들이랑 방문했는데 맛집이네요^^ 번창하세요~,5
2021-07-13,목살 맛있어요 보라매공원 근처 찾다가 들어갔는데 맛나게 잘 먹엇어용 ㅎㅎ,5
2021-07-11,,3
2021-07-02,고기육질이진짜좋네요 단백하고짱짱 넘맛있게먹고갑니당,5
2021-07-02,밥 평범한 거구요ㅋㅋㅋㅋㅋ서비스 진짜 최악입니다 가지마세요 ,1
2021-06-29,,5
2021-06-23,가게도 깔끔하니 쾌적해서 좋았고 ㅋㅋㅋ 목살이 넘 부드러워서 좋았습니다 굿 !!,5
2021-06-22,목살이 먹고싶어서 먹으러갔는데 질이 좋아서 그런지 퍽퍽하지도않고 부드럽게 잘 먹었어요! 찌개도 맛있어서 밥이랑 말아먹었네용 ㅎㅎ,5
2021-06-17,태어나서 먹어본 목살 중에 제일 맛있네요. 목살이 이렇게 맛있는 건 줄 왜 몰랐을까요?,5
2021-05-30,고기와 반찬 질이 상당히 좋고 맛있습니다. 특히 육회가 가장 맛있었네요,5
2021-05-25,사람 많아서 그런지 서비스가 정말 엉망이었어요 다른 테이블처럼 구워주는 줄 알았는데 저희는 언제언제 뒤집으세요~ 하고 가버리시네요 전부 직접 구워먹었어요.. 애초에 옆에 회식해서 시끄러울 것 같아 다른자리 요청했는데 만석이라 없다더니 자리 많더라고요   오랜만에 왔는데 별점이...? ,1
2021-05-23,"듀록 목살 정말 맛있습니다. 불에 구워먹는 파김치도 매력적이고, 콜키지도 2병까지 무료인점이 정말 마음에 들었습니다! 재방문 의사 100프로입니다 강추!",5
2021-05-15,여기 진짜 맛있음 ㅇㅇ,5
2021-04-29,고기가 부드럽고 너무 맛있었어요 자꾸 먹고 싶은 맛 ✨ 기본 반찬도 정갈해서 좋았고 직원분들도 친절하셔서 기분 좋게 먹고 나왔습니다!! 또 갈게요!!,5
2021-04-28,듀록 목살은 진짜~~ 진짜 부드러워요!! 최고 최고. 마늘 굽는거 필수고 ㅎㅎ 트러플명란솥밥도 너무 맛있었어요~ 트러플향 솔솔~ 트러플 안 좋아하던 친구들도 만족이요~! 주차장있어서 편하게 먹고왔습니다~ ^^ 번창하세요!,5
2021-04-20,맛좋은 고기가 참 좋았고 친절하셔서 더 좋았던 식당입니다 고기맛집 인정하고갑니다 또 올게요 ,5
2021-04-16,,5
2021-04-15,친구가 추천해서 가봤는데 고기 질도 좋고 맛있네요! 찌개도 맛있었어요!,5
2021-04-15,삼겹살이랑 목살 맛있어요 대신 갈 때마다 웨이팅이 살짝 있네요. 네이버 예약하고 방문하면 더 편할듯요.,4
2021-04-14,별점조작 싫어요,1
2021-04-14,여기 평점 조작하네  쪼코남무숲 핑크빛내맘에 설하 도현  같은 곳 5점씩 ㅎㅎ,1
2021-04-14,남자친구랑 데이트 겸 같이 왔는데 가게 분위기도 너무 좋고 고기 두툼하니 넘 맛있었어욤~ 치즈도 같이 해서 먹었는데 넘 꿀조합이구 맛있네요! 마지막으로 찌개도 먹었어요 가성비도 갑이구 넘 잘 먹었네요~,5
2021-04-14,목살 넘 존맛탱. 찌개랑 같이 먹었는데 합도 넘 굿굿. 가격도 괜찮고 양 많아서 배부르게 먹었던 집,5
2021-04-14,삼겹살이랑 목살 너무 맛있게 잘 먹었어요~^^ 고기 이렇게 두툼한거 처음 보네요...ㅎㅎ 육즙 대박이에요~ 직원 분들도 친절하세요 *^^*,5
2021-04-14,줄 서서 먹는집이래서 한 번 와 봤는데 고기도 직접 구워주셔서 편했고 고기 질도 좋네요. 찌개도 너무 맛났어요. 고기 두툼하니 맛나네요,5
2021-04-10,"동네주민이라 자주가던 곳인데, 최근에 갔더니 테이블 관리가 전혀 안됩니다.   월화의 장점중 하나가 전문적으로 고기를 구워주셨다는 건데 고기 올려두시고 안오셔서 그냥 직접 구우면 되냐 여쭤보니 구워주실거라고 하시더니 또 안오셔서ㅎㅎ 그냥 직접 자르고 구우니 슥 보시고 못본 척 그냥 가시더라구요  옆테이블은 주문 잘 못 나오고, 고기 올려두시고 사라지셔서 고...",1
2021-04-04,,4
2021-03-27,,5
2021-03-19,듀록목살 육즙 풍미 그득그득!! 웨이팅 이해됨 두병까지 콜키지 무료! 다음엔 와인가져가야지  ★ 절대비추 지인에 가지말라고 할 집 ★★ 재방문의사 없음/평범 혹은 그이하 ★★★ 괜찮음 누가 가자고하면 다시감 ★★★★ 맛있음 재방문의사 있음 ★★★★★ 추천 찐맛집 ,4
2021-02-18,고기 이렇게 두꺼운건 처음 먹어봐요 ㅋ품질도 너무 좋고 맛있네요^-^ 사장님도 친절하시고 서비스도 너무좋으세요 ♡,5
2021-02-01,반찬도 깔끔하고 된장찌개 기본으로 나오는것도 맛있어요! 항정살 최고에요. 항정살 너무 늦게가면 품절이라 참고하세요,5
2021-01-27,므여 ~~ 가볼려뜨만  방송 믿지말라긍 그럼 방송 사고잉겨 ~~ 끙 비빔 냉면도 주고~~명랑솥밥드 드드드,1
2021-01-26,솥밥에 트러플은 무슨ㅋㅋㅋ 방송 믿지마세요,1
2021-01-09,,4
2020-12-06,고기 좋아요. 감치찌개도 맛있습니다.,4
2020-12-02,듀록목살 최고~ 가격은 좀 비싸지만 가끔 올게요 ㅠ,4
2020-11-10,고기 맛도 좋고 가성비 좋아요 분위기도 굿 ㅎㅎ,5
2020-11-10,고기 질이 너무 좋아요... 값어치를 충분히 하는 맛이었습니다ㅎㅎ 엄청 부드럽고 잡내도 없고 최고였네요 매장도 전체적으로 깔끔하고 좋아요,5
2020-11-10,,1
2020-11-03,"외관부터 너무 이뻐서 우와~하고 들어갔는데 내부도 진짜 깨끗했어요! 저는 항정살이랑 삼겹 먹고왔는데 고기가 진~~~짜 두툼했어요!! 두툼해서 그런지 구워서 먹는데 육즙도 많이 느껴지더라구요 음식도 맛있고, 가게도 청결하고 전반적으로 다 만족스러웠어요♡♡",5
2020-11-02,손님 많은 만큼 여기가 맛집이네요!  외식하기도 조금 조심스러웠지만 쾌적하고 청결을 준수해서  깨끗하게 먹고 왔어요! 다음번에 또 방문하고 싶은 곳입니다~~~번창하세요,5
2020-10-30,뼈목살 맛있게 먹었어요. 손님이 많아서인지 서비스가 좋지는 않네요.  냉면 주문했는데 20분이 지나도 안나와서 결국 취소하고 안먹고 나왔어요. ,2
2020-10-28,,5
2020-10-25,고기는 확실히 맛있습니다. 단체 손님이 많아 너무 바뻐서 신경을 못쓰는 점이 아쉽습니다. 처음 주문할 때 분명히 콜라 주문했는데 안갖다 줌. 그래서 8번 이상 갖다 달라고 계속 요청했는데 계산서에 음료수만 계속 추가만하고 음료수를 안갖다 줌.,4
2020-09-14,매장이 엄청 깔끔!!!! 테이블 사이 간격도 넓어서 사회적 거리두기도 잘 진행 되는거 같았어요ㅎ 일단 기본적으로 반찬 완전 신선하고 간이 딱 좋았고 고기는 말해뭐해 진짜 맛있어요! 모든 음식 재료가 상태가 좋은거 같더라구요 주차장도 있어서 편하게 방문할 수 있었어요~또 방문할게용,5
2020-09-04,코로나로 사실 외식하기 걱정이었는데 매장도 넓고 쾌적해서 마음편히 식사하고 왔습니다. 한국인은 삼겹살을 사실 제일 좋아하자나요 ? 진짜 삼겹살 맛집으로 인정합니다. 찐맛집!!! 외근 후 도착을 해서 차를 가지고 왔는데 주차공간도 있어서 편했고 무엇보다 사장님이 너무 친절하셔서 감사했습니다.,5
2020-09-03,저녁 모임 약속이 있어서 좀 넓은 곳인지 궁금해서 점심을 혼자 먹으러 갔더니 충분히 띄어앉기 등 테이블이 많았은데 살겆이 치우는 입구에 앉으라고 하네요... 아마 점심 혼자 먹으러 왔다고 무시당한 것 같네요. 식사내내 테이블에서 그릇 치우는 곳.. 옆에서 우당탕탕 소리나고... 밥 먹다가 그냥 나오려다가 꾹 참고 먹었습니다. 두번다시 가고 싶지는 않네요,1
2020-08-26,신림에서 놀다가 우연히 갔었는데 고기도 구워주시고 맛있었어요! 반찬도 맛있어서 또 가고 싶네요ㅠㅠ... 추천합니다!!!,5
2020-08-21,고기질도 너무 좋구 신선해서 좋았어요 ㅎㅎ,4
2020-08-12,주차도  가능하고  고기는 맛있습니다  ,4
2020-07-20,"직영이라 그런가 맛,청결,친절 삼박자 귯 ",5
2020-07-18,"등심,살치살 먹고왔습니다 고기퀄리티가 상당히 좋습니다 인정!!!밑반찬도 은근 맛있구요 근데 운 나쁜건지 서버분들이 정말 형편없어서 그 좋은 고기를 맛없게 먹고와서 기분이 썩좋지 않았습니다 디테일하게 설명하자면 서버분들이 처음에 고기를 구워주는데 첫분은 고기굽기전 비계를 잠깐 올려 고기 타지않게 비벼주시더니 다른데 일보면서오시지 않는거예요...우리보고 구우란...",3
2020-07-16,고기는 물론 만점이고 직원분들의 친절함과 노련함에 기분좋게 식사하고왔습니다 :),5
2020-07-16,최근 먹었던 삼겹살 중 가장 도톰하니 끝내주네요! 목살도 넘 맛있어보여서 같이 먹었는데 반찬도 맛있고 깨끗해서 넘 좋았어요 ㅎㅎ,5
2020-05-06,고기가 비주얼이 좋아서 먹기도전에 침 질질 흘릴정도로 맛있어보여요 먹어보면 육즙이 살아있어서 너무 맛있어요 ㅜㅜㅜ 고기집이라 바쁜데도 직원분들이 잘 봐주세요,5
2020-05-04,고기맛 너무 맛있어요 ㅋㅋ 기름기가아니라 육즙팡팡 터지면서 맛있고 직원분들도 친절하세요~,5
2020-05-04,우리 엄마가 제일 좋아하는 고깃집이에요~~ 고기맛도 좋고 서비스도 좋아서 가족끼리 외식할때 찾는곳,5
2020-05-04,주차하기 편해서 일단 좋구 삼겹살이 특히 맛있었어요  가게가 깔끔하고 다음에는 가족들 데리고 가보려구요^^,5
2020-05-02,맛있다고 하는데 야들야들한 정도지 그냥 고기 맛임  사람많아서 정신 없고 서비스도 그냥 그랬음,3
2020-05-01,,5
2020-04-21,이름도 새겨주시고 작은거 하나하나까지 신경써주시거라고요 당연히 맛도 있구요^^ 주차도 가능하고 역시 신림맛집이에요! 항상 믿고 방문합니당,5
2020-04-21,친구들이랑 함께 갔는데 직원분들이 빨리빨리 챙겨주시고 맛도 너무 맛있었어요. 고소하고 육즙도 팡팡 나오는 것이 진짜 삼겹살이 아닌 것 같은 느낌이 들 정도에요ㅠㅠ 다음에는 가족들과 함께 오고 싶어요~,5
2020-04-05,,5
2020-03-28,맛있었어요 특히 명란솥밥이 맛있었어요,4
2020-03-27,모임 장소로 방문했는데 직원분들이 빨리빨리 잘 챙겨주시고 고기도 육질이 다른곳보다 훨씬 좋았어요 이 주변엔 여기만한 곳이 없는 것 같습니다,5
2020-03-27,고기가 먹고싶을땐 항상 이곳으로 가요 삼겹살이랑 목살 둘다 맛있고 사이드메뉴들도 준수한 편! 소주킬러입니다 완전,5
2020-03-27,여자친구랑 갔는데 가게 분위기도 괜찮고 삽겹살이 진짜 맛있었어요!  육즙대박이고 직원분들 친절하세요~,5
2020-03-14,,5
2020-03-11,김치말이국수랑 목살 넘 맛잇어여,5
2020-03-04,고기 맛있어요 삼겹살 먹었는데 육즙 장난아니구.. 너무 맛있게 먹었어요ㅋㅋ 다음엔 목살도 먹어봐야겠음 김치말이 국수도 존맛탱~!,5
2020-01-18,별로에요 ,1
2019-12-17,맛있어서 자주가고있어요!! 주차도편하고 고기 잘라주셔서 편하게 먹을 수 있어서 좋습니다ㅎㅎ 직원분들도 친절하세용ㅎ,5
2019-12-04,친구들과 모임으로 갔는데 고기가 완전 두툼!! 목살이 너무 맛있네요!,5
2019-11-14,건물이 독특해서 대중교통으로 갔는데  찾기쉬웠어요. 숙성고기라서 그런지 다른 고기집들과는 고기질이 다르네요. 삼겹살이 육즙이 많아서 맛이 풍부하고 부드러웠습니다. 매장이 깨끗하고 반찬도깔끔해서 좋았어요,5
2019-11-11,,3
2019-10-09,5점 만점 기준 맛- 5점 인테리어 - 5점 서비스 -4점 가격- 3점 총점 4.25 (합계점수 17점 나누기 4)  맛있는데 가격 대비 양이 너무 적음 그래서 사이드로 날치알주먹밥 시켰는데 맛있었음  재방문 의사- 가격때문에 자주는 못가겠지만                      맛있어서 재방 할 듯.,4
2019-10-08,삼겹살 지방이 이정도인가요...??  이게 맞는건가요??? 물어보니 이게 맞답니다 원래 이렇답니다 지방이 적은걸 먹으려면 목살을 먹으랍니다 적당한 지방이 있는 삼겹살을 먹고 싶은거였는데...,1
2019-09-26,양도적고 사장&직원도 ㅆㄱㅈ 없고~ 아무튼 양 상당히 적음~,1
2019-08-12,보라매맛집 월화고기 처음가봤는데 생각보다 넘넘 맛났어요~ +_+ 이런곳을 왜 이제서야 와봤는지ㅠㅠ ..친구들과 갔는데 다음엔 가족들과 다시 방문해야겠어여ㅋㅋ ,5
2019-07-31,친구들과 회식겸 갔는데 이런 맛집이 없습니다ㅋㅋ고기질도 너무 좋고 무엇보다 직원분들과 사장님이 너무 친절하세요.우렁된장도 완전 개꿀맛ㅎㅎ소주가 쑥쑥 들어가요.조만간 가족들과 또 가야겠어요~♡,5
2019-07-31,"처음가보는거라 예약하고 갔는데 더 특별한 대접 받은것 같아서 기분좋더라구요~ 고기도 너무 맛있고, 누룽지는 진짜 일품이네요~~ 왜이리 인기 많은지 알겠어요!! 잘먹고갑니다~~^#",5
2019-07-31,제가 가본 월화고기중에 보라매점이 가장 좋은것같네요. 넓고 깔끔하고ㅎㅎ 물론 고기도맛있구요~^^ 삼겹살도 너무 맛있지만 전 갈매기살 먹으러가요~!!! 생각하니 또 먹고싶네요~~ㅋㅋ,5
2019-07-26,여기 진짜 맛있어요!!! 항상 신림가면 가는곳이에요!! 신림맛집으로 제가 인정해드립니다 후!! 원래 이런리뷰 잘안쓰는데 맛있어서 쓰게됐어요!!!,5
2019-07-19,맛잇는 고기 먹고 싶어서 찾아보다가 발견!! 집에서 조금 떨어져 잇지만 후회없을 만큼  너무 맛잇엇어요!!  대통령상수상한 고기라서 그런지 고기 육질도 좋더라구여! 그리고 된장찌개 존맛탱..d 이번에가서 삼겹살만 먹엇는데 담에 친구들 더 데려가서 다른 부위들도 먹어보고 싶어요~!,5
2019-07-19,고깃집인데도 인테리어 깔끔하고 분위기 좋아요~ 고기 질도 좋고 맛도 좋구요 직원분들도 친절하신거같아요ㅎㅎ,5
2019-07-18,"후기 남기는것을 좋아하지 않는데, 너무 잘 먹고가서 남깁니다. 보라매에 이만한 맛집이 없어요. 깔끔하고 맛있고 정말 최고입니다. 제대로 된 고기가 먹고싶다 할때 방문하는 곳  ",5
2019-07-17,인테리어가 깔끔해서 너무 좋았어요!! 직원분들도친절하셔서기분좋게 외식하고왔습니다ㅎㅎ고기맛도좋고 다음에 또방문할게요!,5
2019-07-10,"양도적고 서비스도 느리고 솥밥도 그저그렇고, 그나마 나은건 고기인데 그것도 가스불에 구워줍니다.",1
2019-03-05, ,1
2019-03-04,,5
2018-11-24,"항정살, 삼겹살, 갈매기살 시켰는데 항정살이 가장 맛있었고 나머지도 괜찮았지만 가격 대비 양이 적어도 너무 적어요...",4
2018-10-26,"여기 목살, 항정살 대박맛있음 매니저님 인상부터 직원들 서비스 대빵 좋음^^ 헌데 삼겹살은 비추천요~ 다른 부위는 최최최고 평점요~♡",5
2018-08-28,,4
2018-06-01,엄청맛집이에요 회사 체육대회 끝나고 갔었는데 계속 생각나는맛,5
2018-04-15,이동네 삼겹살 먹으면 여기감. 고기질이 좋음. 가성비도 괘안음. 목살 요딴거 시키지말고 삼겹살 2번 먹어라.,5
2018-02-14,삼겹살 굿 김치말이국수도,4
2017-10-07,,4
